subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
English Language,Grade 8,Literature and Poetry,What is the difference between a novel and a short story?,multiple_choice,c,A novel is a long narrative work while a short story is brief and focuses on a single incident or character.,medium,10,75,They are the same,A novel has pictures,A novel is longer and more complex,A short story is always true
English Language,Grade 8,Literature and Poetry,What is characterization in literature?,multiple_choice,a,Characterization is the method by which authors reveal characters' personalities traits and motivations.,medium,10,90,Method of revealing character personalities and traits,The number of characters in a story,The names given to characters,The dialogue between characters
English Language,Grade 8,Literature and Poetry,What is the climax of a story?,multiple_choice,b,The climax is the turning point or most intense moment where the main conflict reaches its peak.,medium,10,75,The beginning of the story,The turning point or most intense moment,The end of the story,The introduction of characters
English Language,Grade 8,Literature and Poetry,What is a protagonist?,multiple_choice,c,A protagonist is the main character around whom the story revolves.,easy,10,60,The villain of the story,A minor character,The main character around whom story revolves,The narrator of the story
English Language,Grade 8,Literature and Poetry,What is an antagonist?,multiple_choice,d,An antagonist is the character or force that opposes the protagonist.,medium,10,75,The hero of the story,A supporting character,The narrator,The character or force opposing the protagonist
English Language,Grade 8,Literature and Poetry,What is setting in literature?,multiple_choice,a,Setting is the time and place where the events of a story occur.,easy,10,45,The time and place where events occur,The main character's personality,The problem in the story,The author's message
English Language,Grade 8,Literature and Poetry,What is theme in literature?,multiple_choice,b,Theme is the central message or underlying meaning of a literary work.,medium,10,90,The main character,The central message or underlying meaning,The setting of the story,The plot summary
English Language,Grade 8,Literature and Poetry,What is point of view in literature?,multiple_choice,c,Point of view is the perspective from which a story is told.,medium,10,75,The author's opinion,The main character's feelings,The perspective from which story is told,The setting description
English Language,Grade 8,Literature and Poetry,What is first person point of view?,multiple_choice,a,First person point of view uses 'I' and tells the story from the narrator's personal perspective.,medium,10,90,Uses 'I' and tells from narrator's perspective,Uses 'you' to address the reader,Uses 'he' or 'she' for all characters,Uses 'we' for group narration
English Language,Grade 8,Literature and Poetry,What is third person omniscient point of view?,multiple_choice,d,Third person omniscient knows the thoughts and feelings of all characters.,hard,10,120,Knows only one character's thoughts,Uses 'I' and 'me',Focuses only on actions,Knows thoughts and feelings of all characters
English Language,Grade 8,Literature and Poetry,What is symbolism in literature?,multiple_choice,b,Symbolism uses objects colors or actions to represent deeper meanings beyond their literal sense.,hard,10,120,Using simple language,Using objects to represent deeper meanings,Describing things exactly as they are,Using difficult vocabulary
English Language,Grade 8,Literature and Poetry,What is irony in literature?,multiple_choice,c,Irony is a contrast between expectation and reality or between appearance and truth.,hard,10,120,When everything goes as expected,When characters are very serious,Contrast between expectation and reality,When the story is very long
English Language,Grade 8,Literature and Poetry,What is foreshadowing?,multiple_choice,a,Foreshadowing gives hints or clues about what will happen later in the story.,hard,10,120,Gives hints about future events in story,Describes past events,Explains character motivations,Describes the setting in detail
English Language,Grade 8,Literature and Poetry,What is flashback in literature?,multiple_choice,d,Flashback interrupts the chronological sequence to show events that happened earlier.,hard,10,120,Shows future events,Describes current events,Repeats the same scene,Interrupts sequence to show earlier events
English Language,Grade 8,Literature and Poetry,What is metaphor?,multiple_choice,b,A metaphor makes a direct comparison between two unlike things without using 'like' or 'as'.,medium,10,75,Comparison using 'like',Direct comparison without 'like' or 'as',Literal description,Exaggerated statement
English Language,Grade 8,Literature and Poetry,What is simile?,multiple_choice,c,A simile makes a comparison using 'like' or 'as'.,medium,10,60,Direct comparison,Exaggerated statement,Comparison using 'like' or 'as',Literal description
English Language,Grade 8,Literature and Poetry,What is personification?,multiple_choice,a,Personification gives human characteristics to non-human things.,medium,10,90,Gives human characteristics to non-human things,Describes only people,Creates fictional characters,Describes animals realistically
English Language,Grade 8,Literature and Poetry,What is hyperbole?,multiple_choice,d,Hyperbole is deliberate exaggeration for emphasis or dramatic effect.,medium,10,75,Understatement,Literal truth,Comparison,Deliberate exaggeration for emphasis
English Language,Grade 8,Literature and Poetry,What is alliteration?,multiple_choice,b,Alliteration is the repetition of the same consonant sound at the beginning of words.,medium,10,90,Repetition of vowel sounds,Repetition of same consonant sound at beginning,Rhyming words at the end,Repetition of whole words
English Language,Grade 8,Literature and Poetry,What is onomatopoeia?,multiple_choice,c,Onomatopoeia refers to words that imitate the sounds they describe.,medium,10,90,Words that rhyme,Long descriptive words,Words that imitate sounds they describe,Foreign words in text
English Language,Grade 8,Literature and Poetry,What is imagery in literature?,multiple_choice,a,Imagery uses descriptive language that appeals to the five senses.,medium,10,90,Descriptive language appealing to senses,Simple everyday language,Technical scientific language,Abstract philosophical language
English Language,Grade 8,Literature and Poetry,What is mood in literature?,multiple_choice,d,Mood is the emotional atmosphere that the reader experiences while reading.,medium,10,90,The author's attitude,The main character's personality,The setting description,Emotional atmosphere reader experiences
English Language,Grade 8,Literature and Poetry,What is tone in literature?,multiple_choice,b,Tone is the author's attitude toward the subject matter or audience.,medium,10,90,The reader's feelings,Author's attitude toward subject or audience,The character's emotions,The story's theme
English Language,Grade 8,Literature and Poetry,What is conflict in literature?,multiple_choice,c,Conflict is the struggle or problem that drives the plot forward.,medium,10,75,The solution to problems,The main character,The struggle or problem driving plot forward,The setting of the story
English Language,Grade 8,Literature and Poetry,What is internal conflict?,multiple_choice,a,Internal conflict is a struggle within a character's mind or emotions.,hard,10,120,Struggle within character's mind or emotions,Fight between two characters,Conflict with nature,Conflict with society
English Language,Grade 8,Literature and Poetry,What is external conflict?,multiple_choice,b,External conflict is a struggle between a character and an outside force.,hard,10,120,Conflict within character's mind,Struggle between character and outside force,Emotional struggle,Mental struggle
English Language,Grade 8,Literature and Poetry,What is resolution in a story?,multiple_choice,d,Resolution is the conclusion where conflicts are resolved and loose ends are tied up.,medium,10,90,The beginning of conflict,The most exciting part,The introduction of characters,Conclusion where conflicts are resolved
English Language,Grade 8,Literature and Poetry,What is exposition in literature?,multiple_choice,c,Exposition provides background information about characters setting and situation.,hard,10,120,The most exciting part,The conclusion,Background information about characters and setting,The main conflict
English Language,Grade 8,Literature and Poetry,What is rising action?,multiple_choice,a,Rising action consists of events that build tension and lead to the climax.,hard,10,120,Events building tension leading to climax,The conclusion of the story,The introduction of characters,The resolution of conflicts
English Language,Grade 8,Literature and Poetry,What is falling action?,multiple_choice,b,Falling action includes events that happen after the climax and lead to resolution.,hard,10,120,Events before the climax,Events after climax leading to resolution,The climax itself,The introduction
English Language,Grade 8,Literature and Poetry,What is a round character?,multiple_choice,c,A round character is complex well-developed and shows multiple personality traits.,hard,10,120,A character who is circular,A character who is simple,Complex well-developed with multiple traits,A character who appears briefly
English Language,Grade 8,Literature and Poetry,What is a flat character?,multiple_choice,d,A flat character is simple with few traits and little development throughout the story.,hard,10,120,A character lying down,A character without emotions,A very tall character,Simple with few traits and little development
English Language,Grade 8,Literature and Poetry,What is a static character?,multiple_choice,a,A static character remains unchanged throughout the story.,hard,10,120,Remains unchanged throughout story,Changes constantly,Is very active,Stands perfectly still
