subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Mathematics,Basic 5,Number and Numeration,What is the place value of 6 in 3642?,multiple_choice,c,In 3642 the digit 6 is in the hundreds place so its place value is 600.,medium,10,60,6,60,600,6000
Mathematics,Basic 5,Number and Numeration,Write 2000 + 400 + 30 + 5 in standard form.,multiple_choice,b,Adding the place values: 2000 + 400 + 30 + 5 = 2435.,easy,10,45,2345,2435,2534,2543
Mathematics,Basic 5,Number and Numeration,What is the value of the digit 8 in 1847?,multiple_choice,a,The digit 8 is in the hundreds place so its value is 800.,medium,10,60,800,80,8,8000
Mathematics,Basic 5,Number and Numeration,Round 2367 to the nearest ten.,multiple_choice,c,2367 rounded to the nearest ten is 2370 because 7 ≥ 5.,medium,10,75,2360,2365,2370,2400
Mathematics,Basic 5,Number and Numeration,Which number comes next: 15 20 25 30 ___?,multiple_choice,d,The sequence increases by 5 each time so 30 + 5 = 35.,easy,10,45,32,33,34,35
Mathematics,Basic 5,Number and Numeration,What is the largest 3-digit number you can make with 4 7 2?,multiple_choice,a,To make the largest number arrange digits in descending order: 742.,medium,10,75,742,724,472,427
Mathematics,Basic 5,Number and Numeration,Compare: 2345 ___ 2354,multiple_choice,b,2345 is less than 2354 because 45 < 54 in the last two digits.,easy,10,45,>,<,=,≥
Mathematics,Basic 5,Number and Numeration,What is 1000 + 200 + 30 + 4 in words?,multiple_choice,c,1234 in words is one thousand two hundred and thirty-four.,medium,10,90,One thousand two hundred thirty-four,One thousand two hundred four,One thousand two hundred and thirty-four,One thousand two thirty-four
Mathematics,Basic 5,Number and Numeration,Which is the smallest: 1234 1243 1324 1342?,multiple_choice,a,Comparing from left to right 1234 is the smallest.,medium,10,75,1234,1243,1324,1342
Mathematics,Basic 5,Number and Numeration,What is the expanded form of 3456?,multiple_choice,d,3456 = 3000 + 400 + 50 + 6 in expanded form.,medium,10,75,3000 + 400 + 5 + 6,3000 + 40 + 50 + 6,300 + 400 + 50 + 6,3000 + 400 + 50 + 6
Mathematics,Basic 5,Basic Operations,What is 234 + 567?,multiple_choice,c,Adding: 234 + 567 = 801.,easy,10,60,791,800,801,811
Mathematics,Basic 5,Basic Operations,Find: 800 - 345,multiple_choice,b,Subtracting: 800 - 345 = 455.,medium,10,75,445,455,465,555
Mathematics,Basic 5,Basic Operations,What is 24 × 13?,multiple_choice,d,Multiplying: 24 × 13 = 312.,medium,10,90,302,310,315,312
