subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
ICT,Basic 4,Introduction to Technology,What is technology?,multiple_choice,b,Technology is using tools and machines to make life easier.,easy,10,90,Only computers,Using tools and machines to make life easier,Only phones,Only games
ICT,Basic 4,Introduction to Technology,Give examples of technology we use every day.,multiple_choice,d,We use phones radios televisions and cars as technology daily.,medium,10,150,Only phones,Only cars,Only televisions,Phones radios televisions and cars
ICT,Basic 4,Introduction to Technology,How has technology changed our lives?,multiple_choice,c,Technology has made communication faster and work easier.,medium,10,180,Made life harder,No change,Made communication faster and work easier,Only made things expensive
ICT,Basic 4,Introduction to Technology,What is the difference between old and new technology?,multiple_choice,a,Old technology was simpler; new technology is faster and does more things.,medium,10,150,Old was simpler; new is faster and does more,No difference,Old was better,New is always worse
ICT,Basic 4,Introduction to Technology,Why is technology important?,multiple_choice,b,Technology helps us solve problems and make life better.,medium,10,120,Only for entertainment,Helps solve problems and make life better,Only for rich people,Only for adults
ICT,Basic 4,Introduction to Technology,What should we be careful about with technology?,multiple_choice,d,We should use technology safely and not let it replace playing with friends.,hard,15,180,Nothing to worry about,Only the cost,Only breaking it,Use safely and don't replace playing with friends
ICT,Basic 4,Introduction to Technology,How can technology help in learning?,multiple_choice,c,Technology can help us find information and learn in new ways.,medium,10,150,Only for games,Only for entertainment,Find information and learn in new ways,Only for teachers
ICT,Basic 4,Introduction to Technology,What are some problems technology can cause?,multiple_choice,a,Technology can cause people to spend too much time on devices.,hard,15,180,People spend too much time on devices,No problems,Only good things,Only helps people
ICT,Basic 4,Introduction to Technology,Who can use technology?,multiple_choice,b,People of all ages can use technology when they learn how.,medium,10,120,Only adults,People of all ages when they learn how,Only children,Only experts
ICT,Basic 4,Introduction to Technology,How should we take care of technology?,multiple_choice,c,We should handle technology gently and keep it clean.,medium,10,150,Don't need to care,Use it roughly,Handle gently and keep clean,Only experts should handle
ICT,Basic 4,Basic Computer Concepts,What is a computer?,multiple_choice,a,A computer is an electronic machine that can store and process information.,easy,10,120,Electronic machine that stores and processes information,Only a calculator,Only a television,Only a game machine
ICT,Basic 4,Basic Computer Concepts,What can computers help us do?,multiple_choice,d,Computers help us learn work play games and communicate.,medium,10,150,Only play games,Only work,Only communicate,Learn work play games and communicate
ICT,Basic 4,Basic Computer Concepts,What makes a computer work?,multiple_choice,b,Electricity makes computers work.,easy,10,60,Water,Electricity,Air,Fire
ICT,Basic 4,Basic Computer Concepts,Are computers smarter than humans?,multiple_choice,c,Computers are fast at some things but humans are better at thinking creatively.,medium,10,150,Yes always,No never,Fast at some things but humans better at thinking,Sometimes
ICT,Basic 4,Basic Computer Concepts,What do we call the instructions we give to computers?,multiple_choice,d,Instructions given to computers are called programs.,medium,10,120,Commands,Orders,Rules,Programs
ICT,Basic 4,Basic Computer Concepts,Can computers work without electricity?,multiple_choice,b,Most computers need electricity to work.,medium,10,120,Yes always,No they need electricity,Only big computers,Only small computers
ICT,Basic 4,Basic Computer Concepts,What is the difference between hardware and software?,multiple_choice,a,Hardware is the parts you can touch; software is the programs.,hard,15,150,Hardware you can touch; software is programs,No difference,Hardware is expensive; software is cheap,Hardware is big; software is small
ICT,Basic 4,Basic Computer Concepts,Why are computers useful in schools?,multiple_choice,c,Computers help students learn and practice skills.,medium,10,150,Only for teachers,Only for games,Help students learn and practice skills,Only for typing
ICT,Basic 4,Basic Computer Concepts,What should children know before using computers?,multiple_choice,b,Children should learn basic safety rules and ask for help when needed.,medium,10,180,Nothing special,Basic safety rules and ask for help,Only how to turn on,Only how to play games
ICT,Basic 4,Basic Computer Concepts,How have computers changed over time?,multiple_choice,d,Computers have become smaller faster and easier to use.,hard,15,150,No change,Become bigger,Become more expensive,Become smaller faster and easier
ICT,Basic 4,Parts of a Computer,What are the main parts of a computer?,multiple_choice,c,Main parts include monitor keyboard mouse and the main box.,medium,10,150,Only monitor,Only keyboard,Monitor keyboard mouse and main box,Only mouse
ICT,Basic 4,Parts of a Computer,What is the monitor used for?,multiple_choice,a,The monitor is the screen that shows us what the computer is doing.,easy,10,75,Screen that shows what computer is doing,To type letters,To click on things,To hear sounds
ICT,Basic 4,Parts of a Computer,What is the keyboard used for?,multiple_choice,b,The keyboard is used to type letters and numbers.,easy,10,60,To see things,To type letters and numbers,To click on things,To hear sounds
ICT,Basic 4,Parts of a Computer,What is the mouse used for?,multiple_choice,c,The mouse is used to point and click on things on the screen.,easy,10,75,To see things,To type letters,To point and click on things,To hear sounds
ICT,Basic 4,Parts of a Computer,What is inside the main computer box?,multiple_choice,d,The main box contains the brain and memory of the computer.,hard,15,120,Only wires,Only lights,Only fans,Brain and memory of computer
ICT,Basic 4,Parts of a Computer,What are speakers used for?,multiple_choice,a,Speakers are used to hear sounds from the computer.,easy,10,60,To hear sounds from computer,To see things,To type letters,To click on things
ICT,Basic 4,Parts of a Computer,What is a printer used for?,multiple_choice,b,A printer is used to print documents on paper.,easy,10,75,To see things on screen,To print documents on paper,To type letters,To hear sounds
ICT,Basic 4,Parts of a Computer,What does CPU stand for?,multiple_choice,c,CPU stands for Central Processing Unit which is like the brain.,hard,15,120,Computer Power Unit,Computer Program Unit,Central Processing Unit,Computer Printing Unit
ICT,Basic 4,Parts of a Computer,What is the difference between input and output devices?,multiple_choice,d,Input devices send information to computer; output devices show information from computer.,hard,15,180,No difference,Input is bigger,Output is more expensive,Input sends to computer; output shows from computer
ICT,Basic 4,Parts of a Computer,Why do we need all these different parts?,multiple_choice,a,Different parts have different jobs that work together.,medium,10,150,Different parts have different jobs work together,Only one part is needed,All parts do same thing,Parts don't work together
ICT,Basic 4,Computer Safety,Why should we be careful around computers?,multiple_choice,b,Computers have electrical parts and can be easily damaged.,medium,10,150,They are not dangerous,Have electrical parts and can be damaged,Only expensive,Only heavy
ICT,Basic 4,Computer Safety,What should we do before touching a computer?,multiple_choice,c,We should wash and dry our hands.,medium,10,120,Nothing special,Eat food,Wash and dry our hands,Wear gloves
ICT,Basic 4,Computer Safety,How should we sit when using a computer?,multiple_choice,a,We should sit up straight with feet on the floor.,medium,10,150,Sit up straight with feet on floor,Lie down,Stand up,Sit any way
ICT,Basic 4,Computer Safety,What should we keep away from computers?,multiple_choice,d,We should keep food drinks and water away from computers.,medium,10,120,Only food,Only drinks,Only water,Food drinks and water
ICT,Basic 4,Computer Safety,How should we turn off a computer?,multiple_choice,c,We should use the proper way to turn off not just switch off power.,medium,10,150,Pull out power cord,Press any button,Use proper way to turn off,Hit the computer
ICT,Basic 4,Computer Safety,What should we do if something spills on a computer?,multiple_choice,a,We should turn off the computer and tell an adult.,hard,15,150,Turn off and tell adult,Keep using it,Pour more water,Ignore it
ICT,Basic 4,Computer Safety,How long should we use a computer without taking a break?,multiple_choice,b,We should take breaks every 20-30 minutes.,hard,15,150,All day without stopping,Take breaks every 20-30 minutes,Only 5 minutes total,Never take breaks
ICT,Basic 4,Computer Safety,Why shouldn't we touch the inside of a computer?,multiple_choice,c,The inside has electrical parts that can be dangerous.,hard,15,150,It's dirty,It's too cold,Has electrical parts that are dangerous,It's too hot
ICT,Basic 4,Computer Safety,What should we do if a computer is not working properly?,multiple_choice,d,We should tell an adult or teacher for help.,medium,10,120,Try to fix it ourselves,Hit it,Ignore the problem,Tell an adult or teacher for help
ICT,Basic 4,Computer Safety,Why is it important to keep our workspace clean?,multiple_choice,a,A clean workspace prevents accidents and keeps equipment safe.,medium,10,150,Prevents accidents and keeps equipment safe,Only looks good,Only for teachers,Not important
ICT,Basic 4,Basic Computer Operations,How do we start a computer?,multiple_choice,a,We press the power button to start the computer.,easy,10,60,Press the power button,Hit the screen,Shake the mouse,Pull a cord
ICT,Basic 4,Basic Computer Operations,What appears on the screen when we start the computer?,multiple_choice,c,The desktop appears with small pictures and background.,medium,10,120,Nothing,Only black screen,Desktop with pictures and background,Only text
