subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Social Studies,Grade 8,Advanced Geography of Ghana,How many regions does Ghana currently have?,multiple_choice,c,Ghana currently has 16 regions after the creation of new regions in 2018 and 2019.,medium,10,60,10,14,16,20
Social Studies,Grade 8,Advanced Geography of Ghana,Which region is the largest by land area?,multiple_choice,a,Northern Region is the largest region in Ghana by land area.,medium,10,75,Northern Region,Ashanti Region,Western Region,Upper East Region
Social Studies,Grade 8,Advanced Geography of Ghana,What is the highest point in Ghana?,multiple_choice,b,Mount Afadja in the Volta Region is the highest point in Ghana at 885 meters.,hard,10,120,Mount Cameroon,Mount Afadja,Kwahu Plateau,Akwapim Hills
Social Studies,Grade 8,Advanced Geography of Ghana,Which river system drains most of Ghana?,multiple_choice,c,The Volta River system drains about two-thirds of Ghana's total land area.,medium,10,90,Ankobra River system,Pra River system,Volta River system,Tano River system
Social Studies,Grade 8,Advanced Geography of Ghana,What type of climate does Ghana have?,multiple_choice,a,Ghana has a tropical climate with distinct wet and dry seasons.,easy,10,60,Tropical with wet and dry seasons,Temperate,Desert,Mediterranean
Social Studies,Grade 8,Advanced Geography of Ghana,What are the main vegetation zones in Ghana?,multiple_choice,d,Ghana has three main vegetation zones: coastal savanna forest and northern savanna.,medium,10,120,Only forest,Only savanna,Forest and desert,Coastal savanna forest northern savanna
Social Studies,Grade 8,Advanced Geography of Ghana,Which port handles most of Ghana's international trade?,multiple_choice,b,Tema Port handles the majority of Ghana's international trade and is the country's main seaport.,medium,10,90,Takoradi Port,Tema Port,Accra Port,Elmina Port
Social Studies,Grade 8,Advanced Geography of Ghana,What is the main economic activity in northern Ghana?,multiple_choice,c,Agriculture particularly subsistence farming and livestock rearing is the main economic activity.,medium,10,120,Mining,Manufacturing,Agriculture and livestock,Tourism
Social Studies,Grade 8,Advanced Geography of Ghana,Which region is known as the food basket of Ghana?,multiple_choice,a,The Northern regions are known as Ghana's food basket due to extensive agricultural production.,medium,10,90,Northern regions,Ashanti Region,Greater Accra,Western Region
Social Studies,Grade 8,Advanced Geography of Ghana,What is the significance of Lake Volta?,multiple_choice,d,Lake Volta is the world's largest artificial lake and provides hydroelectric power fishing and transportation.,hard,10,150,Only for fishing,Only for transportation,Only for power generation,Largest artificial lake providing power fishing transportation
Social Studies,Grade 8,Colonial History and Independence,When did the Portuguese first arrive in Ghana?,multiple_choice,b,The Portuguese first arrived on the Gold Coast in 1471.,medium,10,75,1470,1471,1472,1480
Social Studies,Grade 8,Colonial History and Independence,What was the first European fort built in Ghana?,multiple_choice,c,Elmina Castle built by the Portuguese in 1482 was the first European fort in Ghana.,hard,10,120,Cape Coast Castle,Fort William,Elmina Castle,Fort Amsterdam
