subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Social Studies,Basic 6,Our Country Ghana - Location and Size,What is the capital city of Ghana?,multiple_choice,b,Accra is the capital and largest city of Ghana.,easy,10,30,Kumasi,Accra,Tamale,Cape Coast
Social Studies,Basic 6,Our Country Ghana - Location and Size,Which continent is Ghana located in?,multiple_choice,c,Ghana is located in West Africa on the African continent.,easy,10,30,Asia,Europe,Africa,America
Social Studies,Basic 6,Our Country Ghana - Location and Size,Which ocean borders Ghana to the south?,multiple_choice,d,The Atlantic Ocean borders Ghana's southern coast.,easy,10,45,Indian Ocean,Pacific Ocean,Arctic Ocean,Atlantic Ocean
Social Studies,Basic 6,Our Country Ghana - Location and Size,How many regions does Ghana have?,multiple_choice,c,Ghana currently has 16 administrative regions.,medium,10,60,10,14,16,20
Social Studies,Basic 6,Our Country Ghana - Location and Size,Which countries border Ghana?,multiple_choice,a,Ghana is bordered by Côte d'Ivoire Burkina Faso and Togo.,medium,10,120,Côte d'Ivoire Burkina Faso and Togo,Nigeria Mali and Niger,Senegal Guinea and Liberia,Benin Chad and Cameroon
Social Studies,Basic 6,Our Country Ghana - Location and Size,What is the largest city in Ghana?,multiple_choice,a,Accra is both the capital and largest city in Ghana.,easy,10,45,Accra,Kumasi,Tamale,Takoradi
Social Studies,Basic 6,Our Country Ghana - Location and Size,In which part of Africa is Ghana located?,multiple_choice,b,Ghana is located in West Africa.,easy,10,45,East Africa,West Africa,North Africa,South Africa
Social Studies,Basic 6,Our Country Ghana - Location and Size,What is the approximate population of Ghana?,multiple_choice,c,Ghana's population is approximately 30 million people.,medium,10,75,20 million,25 million,30 million,35 million
Social Studies,Basic 6,Our Country Ghana - Location and Size,Which region is known as the garden city of Ghana?,multiple_choice,d,Kumasi in the Ashanti Region is known as the garden city.,medium,10,90,Accra,Tamale,Cape Coast,Kumasi
Social Studies,Basic 6,Our Country Ghana - Location and Size,What is the total land area of Ghana approximately?,multiple_choice,b,Ghana covers approximately 238000 square kilometers.,hard,15,90,200000 sq km,238000 sq km,250000 sq km,300000 sq km
Social Studies,Basic 6,Our Country Ghana - Physical Features,What is the longest river in Ghana?,multiple_choice,a,The Volta River is the longest river in Ghana.,medium,10,60,Volta River,Ankobra River,Pra River,Tano River
Social Studies,Basic 6,Our Country Ghana - Physical Features,What is Lake Volta famous for?,multiple_choice,c,Lake Volta is one of the world's largest artificial lakes.,medium,10,90,Being the deepest lake,Being a natural lake,Being one of the largest artificial lakes,Being the smallest lake
Social Studies,Basic 6,Our Country Ghana - Physical Features,Which dam created Lake Volta?,multiple_choice,b,The Akosombo Dam created Lake Volta when it was built.,medium,10,75,Bui Dam,Akosombo Dam,Kpong Dam,Pwalugu Dam
Social Studies,Basic 6,Our Country Ghana - Physical Features,What type of climate does Ghana have?,multiple_choice,d,Ghana has a tropical climate with wet and dry seasons.,medium,10,75,Desert climate,Mediterranean climate,Arctic climate,Tropical climate
Social Studies,Basic 6,Our Country Ghana - Physical Features,Which forest reserve is the largest in Ghana?,multiple_choice,a,Bia National Park is one of Ghana's largest forest reserves.,hard,15,120,Bia National Park,Kakum National Park,Mole National Park,Digya National Park
Social Studies,Basic 6,Our Country Ghana - Physical Features,What are the two main seasons in Ghana?,multiple_choice,c,Ghana has wet (rainy) and dry seasons as its main seasons.,medium,10,75,Hot and cold,Summer and winter,Wet and dry,Spring and autumn
Social Studies,Basic 6,Our Country Ghana - Physical Features,Which mountain range is found in Ghana?,multiple_choice,b,The Akwapim-Togo mountain range runs through eastern Ghana.,hard,15,120,Atlas Mountains,Akwapim-Togo Mountains,Sahara Mountains,Kilimanjaro Mountains
Social Studies,Basic 6,Our Country Ghana - Physical Features,What is the highest point in Ghana?,multiple_choice,c,Mount Afadja is the highest point in Ghana at 885 meters.,hard,15,90,Mount Cameroon,Mount Nimba,Mount Afadja,Mount Kwahu
Social Studies,Basic 6,Our Country Ghana - Physical Features,Which vegetation zone covers most of northern Ghana?,multiple_choice,d,The savanna vegetation zone covers most of northern Ghana.,medium,10,90,Forest,Coastal scrub,Mangrove,Savanna
Social Studies,Basic 6,Our Country Ghana - Physical Features,What type of vegetation is found along Ghana's coast?,multiple_choice,a,Coastal scrub and grassland vegetation is found along the coast.,medium,10,120,Coastal scrub and grassland,Dense forest,Desert vegetation,Mountain vegetation
Social Studies,Basic 6,Our Country Ghana - Natural Resources,What is Ghana most famous for mining?,multiple_choice,a,Ghana is most famous for gold mining and is known as the Gold Coast.,easy,10,60,Gold,Silver,Copper,Iron
Social Studies,Basic 6,Our Country Ghana - Natural Resources,Which crop is Ghana's main export?,multiple_choice,c,Cocoa is Ghana's main agricultural export crop.,medium,10,60,Coffee,Cotton,Cocoa,Cassava
Social Studies,Basic 6,Our Country Ghana - Natural Resources,What other precious stone is mined in Ghana besides gold?,multiple_choice,b,Diamonds are also mined in Ghana along with gold.,medium,10,75,Emeralds,Diamonds,Rubies,Sapphires
Social Studies,Basic 6,Our Country Ghana - Natural Resources,Which mineral is used to make aluminum?,multiple_choice,d,Bauxite is the mineral used to make aluminum and Ghana has large deposits.,hard,15,90,Iron ore,Copper,Manganese,Bauxite
Social Studies,Basic 6,Our Country Ghana - Natural Resources,What type of energy resource has Ghana recently discovered?,multiple_choice,c,Ghana has recently discovered oil and natural gas offshore.,medium,10,90,Coal,Nuclear,Oil and gas,Solar
Social Studies,Basic 6,Our Country Ghana - Natural Resources,Which forest product is important to Ghana's economy?,multiple_choice,a,Timber from Ghana's forests is an important export product.,medium,10,75,Timber,Rubber,Palm oil,Bamboo
Social Studies,Basic 6,Our Country Ghana - Natural Resources,What is the main food crop grown in Ghana?,multiple_choice,b,Cassava is the main staple food crop grown throughout Ghana.,medium,10,75,Rice,Cassava,Wheat,Barley
Social Studies,Basic 6,Our Country Ghana - Natural Resources,Which region is known for gold mining?,multiple_choice,c,The Ashanti Region is historically known for gold mining.,medium,10,75,Northern Region,Upper East Region,Ashanti Region,Volta Region
Social Studies,Basic 6,Our Country Ghana - Natural Resources,What cash crop is grown mainly in the forest zone?,multiple_choice,d,Cocoa is the main cash crop grown in Ghana's forest zone.,medium,10,90,Cotton,Groundnuts,Millet,Cocoa
Social Studies,Basic 6,Our Country Ghana - Natural Resources,Which water body provides fish for Ghanaians?,multiple_choice,a,Both the Atlantic Ocean and inland waters provide fish for Ghana.,medium,10,120,Atlantic Ocean and rivers,Only rivers,Only the ocean,Only lakes
Social Studies,Basic 6,People and Culture - Ethnic Groups,What are the major ethnic groups in Ghana?,multiple_choice,d,The major groups include Akan Mole-Dagbon Ewe Ga-Dangme and others.,hard,15,150,Only Akan,Only Ewe,Only Ga,Akan Mole-Dagbon Ewe Ga-Dangme and others
Social Studies,Basic 6,People and Culture - Ethnic Groups,Which is the largest ethnic group in Ghana?,multiple_choice,a,The Akan people form the largest ethnic group in Ghana.,medium,10,75,Akan,Ewe,Ga,Dagomba
Social Studies,Basic 6,People and Culture - Ethnic Groups,What is the traditional cloth of Ghana called?,multiple_choice,c,Kente is Ghana's famous traditional handwoven cloth.,medium,10,60,Batik,Adinkra,Kente,Bogolan
Social Studies,Basic 6,People and Culture - Ethnic Groups,What are Adinkra symbols?,multiple_choice,b,Adinkra symbols are traditional Akan symbols with meanings and values.,medium,10,120,Types of food,Traditional symbols with meanings,Traditional dances,Types of clothing
Social Studies,Basic 6,People and Culture - Ethnic Groups,Which people are known for the Homowo festival?,multiple_choice,d,The Ga people celebrate the Homowo festival.,medium,10,90,Akan,Ewe,Dagomba,Ga
Social Studies,Basic 6,People and Culture - Ethnic Groups,What language do most Ghanaians speak?,multiple_choice,c,English is the official language but many local languages are also spoken.,medium,10,120,Only English,Only local languages,English and local languages,Only French
